First Name,Last Name,Team,Position,Height(inches),Weight(pounds),Age
Jeff,Mathis,ANA,Catcher,72,180,23.92
Mike,Napoli,ANA,Catcher,72,205,25.33
Jose,Molina,ANA,Catcher,74,220,31.74
Howie,Kendrick,ANA,First Baseman,70,180,23.64
Kendry,Morales,ANA,First Baseman,73,220,23.7
Casey,Kotchman,ANA,First Baseman,75,210,24.02
Robb,Quinlan,ANA,First Baseman,73,200,29.95
Shea,Hillenbrand,ANA,First Baseman,73,211,31.59
Terry,Evans,ANA,Outfielder,75,200,25.11
Reggie,Willits,ANA,Outfielder,71,185,25.75
Tommy,Murphy,ANA,Outfielder,72,185,27.51
Juan,Rivera,ANA,Outfielder,74,205,28.66
Chone,Figgins,ANA,Outfielder,68,160,29.1
Vladimir,Guerrero,ANA,Outfielder,75,220,31.06
Gary,Matthews,ANA,Outfielder,75,225,32.51
Garret,Anderson,ANA,Outfielder,75,225,34.67
Chris,Resop,ANA,Relief Pitcher,75,222,24.32
Francisco,Rodriguez,ANA,Relief Pitcher,72,185,25.14
Phil,Seibel,ANA,Relief Pitcher,73,195,28.09
Greg,Jones,ANA,Relief Pitcher,74,195,30.29
Scot,Shields,ANA,Relief Pitcher,73,170,31.61
Justin,Speier,ANA,Relief Pitcher,76,205,33.31
Darren,Oliver,ANA,Relief Pitcher,74,220,36.4
Hector,Carrasco,ANA,Relief Pitcher,74,220,37.36
Erick,Aybar,ANA,Shortstop,70,170,23.13
Orlando,Cabrera,ANA,Shortstop,70,190,32.33
Ervin,Santana,ANA,Starting Pitcher,74,160,24.14
Jered,Weaver,ANA,Starting Pitcher,79,205,24.41
Joe,Saunders,ANA,Starting Pitcher,74,200,25.71
John,Lackey,ANA,Starting Pitcher,78,235,28.35
Kelvim,Escobar,ANA,Starting Pitcher,73,210,30.89
Bartolo,Colon,ANA,Starting Pitcher,71,250,33.77
Dustin,Moseley,ANA,Starting Pitcher,76,190,37.74
Maicer,Izturis,ANA,Third Baseman,68,155,26.46
Dallas,McPherson,ANA,Third Baseman,76,230,26.6
Miguel,Montero,ARZ,Catcher,71,197,23.64
Chris,Snyder,ARZ,Catcher,75,220,26.05
Conor,Jackson,ARZ,First Baseman,74,225,24.82
Robby,Hammock,ARZ,First Baseman,70,187,29.8
Tony,Clark,ARZ,First Baseman,79,245,34.71
Chris,Young,ARZ,Outfielder,74,180,23.49
Carlos,Quentin,ARZ,Outfielder,73,225,24.51
Scott,Hairston,ARZ,Outfielder,72,188,26.77
Eric,Byrnes,ARZ,Outfielder,74,210,31.04
Jeff,DaVanon,ARZ,Outfielder,72,200,33.23
Edgar,Gonzalez,ARZ,Relief Pitcher,72,215,24.02
Tony,Pe?a,ARZ,Relief Pitcher,74,190,25.14
Doug,Slaten,ARZ,Relief Pitcher,77,200,27.07
Brandon,Medders,ARZ,Relief Pitcher,73,191,27.09
Brandon,Lyon,ARZ,Relief Pitcher,73,180,27.56
Jose,Valverde,ARZ,Relief Pitcher,76,254,27.6
Jorge,Julio,ARZ,Relief Pitcher,73,232,27.99
Orlando,Hudson,ARZ,Second Baseman,72,185,29.22
Alberto,Callaspo,ARZ,Shortstop,70,175,23.87
Stephen,Drew,ARZ,Shortstop,72,185,23.96
Dana,Eveland,ARZ,Starting Pitcher,73,250,23.34
Enrique,Gonzalez,ARZ,Starting Pitcher,70,210,24.57
Brandon,Webb,ARZ,Starting Pitcher,74,228,27.81
Juan,Cruz,ARZ,Starting Pitcher,74,165,28.38
Doug,Davis,ARZ,Starting Pitcher,76,213,31.44
Livan,Hernandez,ARZ,Starting Pitcher,74,245,32.02
Randy,Johnson,ARZ,Starting Pitcher,82,231,43.47
Chad,Tracy,ARZ,Third Baseman,74,200,26.77
Brian,McCann,ATL,Catcher,75,210,23.03
Brayan,Pe?a,ATL,Catcher,71,220,25.14
Craig,Wilson,ATL,First Baseman,74,220,30.25
Jeff,Francoeur,ATL,Outfielder,76,220,23.14
Kelly,Johnson,ATL,Outfielder,73,180,25.02
Scott,Thorman,ATL,Outfielder,75,200,25.15
Ryan,Langerhans,ATL,Outfielder,75,195,27.03
T.J.,Bohn,ATL,Outfielder,77,200,27.12
Matt,Diaz,ATL,Outfielder,73,206,28.99
Andruw,Jones,ATL,Outfielder,73,210,29.85
Joey,Devine,ATL,Relief Pitcher,71,195,23.45
Macay,McBride,ATL,Relief Pitcher,71,210,24.35
Oscar,Villarreal,ATL,Relief Pitcher,72,205,25.27
Blaine,Boyer,ATL,Relief Pitcher,75,190,25.64
Manny,Acosta,ATL,Relief Pitcher,76,170,25.83
Lance,Cormier,ATL,Relief Pitcher,73,192,26.53
Phil,Stockman,ATL,Relief Pitcher,80,240,27.1
Rafael,Soriano,ATL,Relief Pitcher,73,175,27.2
Peter,Moylan,ATL,Relief Pitcher,74,200,28.24
Mike,Gonzalez,ATL,Relief Pitcher,74,205,28.77
Tyler,Yates,ATL,Relief Pitcher,76,220,29.56
Chad,Paronto,ATL,Relief Pitcher,77,250,31.59
Tanyon,Sturtze,ATL,Relief Pitcher,77,200,36.38
Bob,Wickman,ATL,Relief Pitcher,73,240,38.06
Martin,Prado,ATL,Second Baseman,73,170,23.34
Pete,Orr,ATL,Second Baseman,73,175,27.73
Chris,Woodward,ATL,Second Baseman,72,185,30.67
Tony,Pe?a,ATL,Shortstop,73,180,25.94
Edgar,Renteria,ATL,Shortstop,73,200,31.56
Kyle,Davies,ATL,Starting Pitcher,74,205,23.47
Chuck,James,ATL,Starting Pitcher,72,170,25.31
